1,1,79,79,6549
1,1,79,205,6549
1,1,79,49,6549
1,1,79,282,6549
2,2,6,6,3206
2,2,6,175,3206
2,2,6,290,3206
2,2,6,63,3206
3,3,177,177,941
3,3,177,67,941
3,3,177,25,941
3,3,177,183,941
4,4,190,190,211
4,4,190,23,211
5,5,153,153,545
5,5,153,207,545
6,6,272,272,3540
6,6,272,108,3540
6,6,272,119,3540
6,6,272,6,3540
7,7,173,173,3889
7,7,173,257,3889
7,7,173,189,3889
7,7,173,105,3889
8,8,202,202,3743
8,8,202,171,3743
8,8,202,107,3743
8,8,202,225,3743
8,8,202,182,3743
9,9,200,200,1384
9,9,200,7,1384
10,10,222,222,2658
10,10,222,138,2658
10,10,222,88,2658
10,10,222,251,2658
10,10,222,252,2658
11,11,241,241,4872
11,11,241,51,4872
12,12,199,199,5016
12,12,199,180,5016
12,12,199,229,5016
12,12,199,105,5016
12,12,199,170,5016
13,13,185,185,885
13,13,185,120,885
13,13,185,115,885
13,13,185,27,885
13,13,185,59,885
14,14,164,164,5616
14,14,164,249,5616
14,14,164,209,5616
14,14,164,140,5616
14,14,164,223,5616
15,15,16,16,1114
15,15,16,46,1114
15,15,16,180,1114
15,15,16,287,1114
16,16,21,21,5075
16,16,21,258,5075
16,16,21,124,5075
16,16,21,170,5075
16,16,21,264,5075
17,17,182,182,6489
17,17,182,125,6489
18,18,271,271,3754
18,18,271,224,3754
18,18,271,136,3754
18,18,271,68,3754
18,18,271,39,3754
19,19,295,295,704
19,19,295,284,704
20,20,272,272,2241
20,20,272,277,2241
20,20,272,207,2241
20,20,272,77,2241
20,20,272,50,2241
21,21,97,97,4226
21,21,97,96,4226
21,21,97,214,4226
21,21,97,151,4226
21,21,97,292,4226
22,22,23,23,6085
22,22,23,295,6085
22,22,23,47,6085
22,22,23,38,6085
22,22,23,135,6085
23,23,147,147,3980
23,23,147,202,3980
23,23,147,212,3980
23,23,147,103,3980
24,24,23,23,5601
24,24,23,53,5601
24,24,23,144,5601
25,25,139,139,6726
25,25,139,3,6726
25,25,139,73,6726
25,25,139,46,6726
26,26,179,179,4594
26,26,179,225,4594
26,26,179,195,4594
26,26,179,153,4594
26,26,179,170,4594
27,27,251,251,3989
27,27,251,40,3989
28,28,265,265,5608
28,28,265,290,5608
28,28,265,99,5608
28,28,265,35,5608
28,28,265,39,5608
29,29,223,223,5678
29,29,223,16,5678
30,30,254,254,5261
30,30,254,297,5261
31,31,196,196,3593
31,31,196,26,3593
31,31,196,172,3593
32,32,50,50,2587
32,32,50,285,2587
32,32,50,202,2587
33,33,180,180,5483
33,33,180,198,5483
33,33,180,46,5483
33,33,180,295,5483
33,33,180,186,5483
34,34,134,134,7171
34,34,134,213,7171
35,35,156,156,4077
35,35,156,209,4077
35,35,156,152,4077
35,35,156,231,4077
35,35,156,287,4077
36,36,92,92,2200
36,36,92,164,2200
36,36,92,121,2200
36,36,92,104,2200
37,37,6,6,3278
37,37,6,134,3278
37,37,6,169,3278
37,37,6,148,3278
37,37,6,291,3278
38,38,216,216,3539
38,38,216,294,3539
38,38,216,258,3539
38,38,216,280,3539
39,39,198,198,3430
39,39,198,55,3430
39,39,198,104,3430
40,40,270,270,2936
40,40,270,70,2936
40,40,270,193,2936
40,40,270,20,2936
40,40,270,146,2936
41,41,222,222,1579
41,41,222,180,1579
41,41,222,226,1579
42,42,20,20,5738
42,42,20,6,5738
42,42,20,154,5738
42,42,20,59,5738
42,42,20,275,5738
43,43,176,176,194
43,43,176,168,194
43,43,176,247,194
44,44,264,264,13
44,44,264,85,13
45,45,109,109,1382
45,45,109,182,1382
45,45,109,291,1382
45,45,109,275,1382
46,46,25,25,6339
46,46,25,73,6339
46,46,25,41,6339
47,47,15,15,3417
47,47,15,174,3417
47,47,15,25,3417
47,47,15,187,3417
48,48,7,7,6276
48,48,7,35,6276
48,48,7,14,6276
49,49,277,277,1156
49,49,277,66,1156
49,49,277,217,1156
49,49,277,7,1156
49,49,277,35,1156
50,50,138,138,1873
50,50,138,99,1873
50,50,138,34,1873
50,50,138,102,1873
51,51,297,297,194
51,51,297,52,194
52,52,294,294,490
52,52,294,120,490
52,52,294,191,490
53,53,164,164,4324
53,53,164,275,4324
54,54,132,132,7083
54,54,132,117,7083
54,54,132,6,7083
54,54,132,63,7083
55,55,298,298,2898
55,55,298,205,2898
56,56,103,103,3073
56,56,103,15,3073
56,56,103,75,3073
56,56,103,200,3073
57,57,97,97,764
57,57,97,39,764
57,57,97,11,764
57,57,97,279,764
57,57,97,76,764
58,58,30,30,6919
58,58,30,22,6919
58,58,30,86,6919
59,59,253,253,4929
59,59,253,230,4929
59,59,253,62,4929
60,60,95,95,4629
60,60,95,71,4629
60,60,95,9,4629
60,60,95,181,4629
61,61,259,259,2180
61,61,259,58,2180
61,61,259,140,2180
62,62,102,102,3327
62,62,102,298,3327
63,63,39,39,3187
63,63,39,192,3187
63,63,39,147,3187
64,64,215,215,3768
64,64,215,83,3768
64,64,215,289,3768
64,64,215,176,3768
65,65,193,193,1889
65,65,193,299,1889
65,65,193,71,1889
66,66,280,280,1493
66,66,280,110,1493
67,67,89,89,3018
67,67,89,171,3018
68,68,187,187,4839
68,68,187,291,4839
68,68,187,153,4839
68,68,187,206,4839
69,69,65,65,2619
69,69,65,293,2619
69,69,65,187,2619
70,70,87,87,2221
70,70,87,84,2221
70,70,87,190,2221
70,70,87,74,2221
70,70,87,215,2221
71,71,235,235,6578
71,71,235,105,6578
71,71,235,39,6578
71,71,235,98,6578
71,71,235,31,6578
